id	description	37C_B1_G1S	37C_B1_PM	37C_B1_S	37C_B2_G1S	37C_B2_PM	37C_B2_S	37C_B3_G1S	37C_B3_PM	37C_B3_S	47C_B1_G1S	47C_B1_PM	47C_B1_S	47C_B2_G1S	47C_B2_PM	47C_B2_S	47C_B3_G1S	47C_B3_PM	47C_B3_S	50C_B1_G1S	50C_B1_PM	50C_B1_S	50C_B2_G1S	50C_B2_PM	50C_B2_S	50C_B3_G1S	50C_B3_PM	50C_B3_S	52C_B1_G1S	52C_B1_PM	52C_B1_S	52C_B2_G1S	52C_B2_PM	52C_B2_S	52C_B3_G1S	52C_B3_PM	52C_B3_S	54C_B1_G1S	54C_B1_PM	54C_B1_S	54C_B2_G1S	54C_B2_PM	54C_B2_S	54C_B3_G1S	54C_B3_PM	54C_B3_S	57C_B1_G1S	57C_B1_PM	57C_B1_S	57C_B2_G1S	57C_B2_PM	57C_B2_S	57C_B3_G1S	57C_B3_PM	57C_B3_S	sumUniPeps	sumPSMs	countNum
A0AVT1	Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens GN=UBA6 PE=1 SV=1	0	-0.07899433509570031	-0.0607827419970004	0	-0.035395449930900824	0.0027889421997997488	0	-0.003555199260201647	0.005693280564898373	0	-0.030344798595800526	-0.0252364532315017	0	-0.045963361232299604	-0.012236906185599139	0	0.01103735469179945	-0.05351605709840079	0	-0.35281999361059846	-0.24670523559899848	0	-0.16560694521499997	-0.060096724659800316	0	-0.05416617796480061	-0.030450688149901595	0	-0.17278188055341026	-0.11407196721797064	0	-4.616095957601374e-4	0.1155843720203098	0	-0.0447951179444015	0.19030095671825897	0	-0.1889809457732312	-0.2067497256881996	0	0.04659443124481122	0.10286879866258047	0	-0.01434618762379003	0.17089290967657966	0	0.01564796241991928	-0.06275184691697078	0	-0.056618798015069416	-0.08733075941071	0	0.055802487686570146	0.134110270938951	36	172	36
A3KN83	Protein strawberry notch homolog 1 OS=Homo sapiens GN=SBNO1 PE=1 SV=1	0	0.06629925709960105	0.030860742282401432	0	0.1748434805970991	0.07837757305429882	0	0.0611902697663016	0.029488302699700597	0	0.1481552706471998	0.0321004148583004	0	0.1955873987137	0.0629256019657003	0	0.1432768766489012	-0.022046704782498594	0	0.17734768372215015	-0.024770922592260547	0	0.25172333561221016	-0.04157149161606988	0	0.17535191259674043	-0.09387497588388882	0	0.008394041007029784	0.00922646763762991	0	0.07969104872621013	0.05082566661794008	0	0.08426436697013973	-0.027467112607940436	0	0.04574174304458012	0.058156053116771744	0	0.1099367814125003	0.03315133470306009	0	0.008493744468049513	0.12809361479000891	0	-0.014662752822209413	-0.03144785881758949	0	0.015896770295600327	-0.0035933303802595518	0	0.03767967061734989	-0.06073915469120994	26	84	26
A4D126	Isoprenoid synthase domain-containing protein OS=Homo sapiens GN=ISPD PE=1 SV=2	0	-0.015336474407689593	0.0441273426220512	0	-0.019008338171961014	-0.047640833971970054	0	0.016824472042229033	-0.019773262789181345	0	-0.15280596035742988	-0.12503185514611914	0	-0.006745660304041223	0.02874116485561906	0	-0.02712634997056007	0.007054966908640381	0	0.058122771865040335	0.023440834761370155	0	0.03667274918664987	-0.05666273252935028	0	0.03373075197191966	0.04373626845340972	0	0.20650475369571986	0.13333322710620976	0	0.14093205692624977	-0.018557265495859454	0	0.037196391846951116	0.004558778017660359	0	-0.048017802422300804	0.012100906660899469	0	-0.027168217272800277	-0.11511849867410007	0	0.11627514452780119	-0.05581881174900971	0	0.1445839553170991	0.12502699070105905	0	0.03795157020365991	0.26994523651505986	0	-0.11415111009596046	-0.3041525762748396	7	15	7
A4D1P6	WD repeat-containing protein 91 OS=Homo sapiens GN=WDR91 PE=1 SV=2	0	-0.025128549360870167	-0.024510410384859682	0	-0.050997676816789905	0.02486362857812985	0	-0.047207714494151176	-0.030438784255490958	0	-0.034464747494640235	-0.019787935143460444	0	-0.037680802610129405	-0.04724547950378977	0	-0.07816635653369097	0.019417248092779005	0	-0.07732177531148032	0.05085407186820934	0	-0.13713207953772955	-0.11705507971904883	0	-0.042359459596990945	-0.06282467384331092	0	-0.0719540619561414	0.12506149624219987	0	-0.12190564342065002	-0.11224455229710983	0	-0.17771319411930975	-0.07035225714863991	0	-0.0931632892662293	-0.04750366657085969	0	0.032179584982850784	-0.009095166056559023	0	-0.0029477655017604576	0.19040985138734	0	-0.0727161071069311	-0.09586841356066955	0	0.01419575036018017	0.005661417304830607	0	-0.0720614665061099	-0.09383323439005054	11	27	9
A5YKK6	CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1 PE=1 SV=2	0	0.02245811522969987	-0.011052948741399504	0	0.10735957724040013	-0.01643881834299954	0	0.030443094911200674	-0.019078509364899077	0	-0.1537648925178008	-0.038686712378600774	0	-0.07821225966829992	-0.02137103642960092	0	-0.04773542536949904	-0.03234350017669918	0	-0.16519476071210093	-0.1291509932531998	0	-0.07402777605319955	-0.15825795793599973	0	-0.026471825210000688	-0.050893824186200476	0	-3.3756728043066175e-4	-0.05721033506801021	0	-0.037545124626559456	0.06133515356260055	0	-0.10758552453222059	0.1473569864409896	0	-0.06307577598285974	-0.14349204660671866	0	0.10412526933505006	0.007168898743270091	0	-0.030376257037019627	0.20547209812637135	0	0.1697530372784506	0.07318330493581016	0	0.001141628697869379	-0.002645504841289892	0	0.014559137157840851	0.04897005720983039	41	132	40
A6NCE7	Microtubule-associated proteins 1A/1B light chain 3 beta 2 OS=Homo sapiens GN=MAP1LC3B2 PE=2 SV=1	0	-0.15874657101297984	-0.2773030972614796	0	-0.08107331519549987	-0.1224802561350895	0	-0.010402995334760412	-0.11434373844970036	0	-0.20496033867778962	-0.22309304459670898	0	-0.06424274736967917	-0.053358916682689994	0	-0.04532954691591051	-0.10017118424488913	0	-0.07522500826175005	-0.09228816140610974	0	0.001226968190529476	-0.1466632686363205	0	-0.13993973679509963	-0.29590968461704925	0	-0.23560005788873895	-0.314989050006389	0	-0.04317820190076027	-0.10139181876252046	0	-0.011408254568669562	-0.21700687321019974	0	-0.10052880586474977	-0.25526699386429996	0	0.08425764816295	-0.09470593738624977	0	-0.007316242005749984	-0.2736009155193404	0	-0.12855404580159124	-0.12819662159083123	0	-0.005241283961089138	-0.08678655474362884	0	0.019530212146559478	-0.006791231955229904	2	10	2
A6NED2	RCC1 domain-containing protein 1 OS=Homo sapiens GN=RCCD1 PE=1 SV=1	0	0.11568447782292957	0.03829853322879018	0	-0.05587562740472052	0.014089879628999213	0	7.373901430600682e-4	-0.04014730660643018	0	0.11163131826332062	0.06435266331645018	0	-0.015957645822390454	0.03296553363425936	0	-0.06552229747780025	0.005313200594479817	0	0.004821644158030658	0.05629167983788097	0	0.04796292743204944	0.10544838602519935	0	-0.04705913571149001	-0.009702397120359585	0	0.08592914669267948	0.12245536933737	0	-0.016419217676880038	-0.09310730438687997	0	0.0218677391754305	-0.08365902680212933	0	0.09215922297717949	0.14728752871591944	0	0.08395939629003024	0.10207537631931007	0	0.08994066982783977	-0.030345805275720394	0	0.0655606250073495	0.03043992704431986	0	0.06064249408855016	0.008636223836700374	0	-0.07901039557231027	-0.10240508872069043	5	13	3
A6NGB9	WAS/WASL-interacting protein family member 3 OS=Homo sapiens GN=WIPF3 PE=1 SV=4	0	0.05314213110052979	0.005800025514109741	0	-0.03517539097798039	0.022357689948050208	0	0.19690876669336	0.1652088694017797	0	0.03887357940450009	0.03763596123148005	0	0.15319238490383924	0.13959063691837947	0	0.08007643442133006	0.1571978237084597	0	0.009526651630229921	0.04650375652603067	0	0.10649279007233936	0.01842844118941933	0	0.1119412758767897	0.08387827493034905	0	0.13111163746432908	0.10496667807757909	0	0.09267791873138975	0.03623124588454907	0	0.10014641022229043	0.010822141654520223	0	0.1776827230798208	-0.01128046113590031	0	0.09502586015041992	-9.250944988004051e-4	0	0.2155704872317905	0.06770110437684984	0	0.1844291742384403	0.13036112313893966	0	0.23892708476309998	0.1113355974758008	0	0.17894012406030058	-0.05307195402306952	4	10	4
A8MPS7	Carbohydrate deacetylase OS=Homo sapiens GN=YDJC PE=1 SV=1	0	-0.21255321287312867	-0.05655362129507857	0	0.05119530837452935	0.09984533202539936	0	-0.07196531727122135	0.05595271099854848	0	-0.13778117506016052	0.1561719559189303	0	-0.10728567953009005	0.0821261397912707	0	-0.15992387037267086	0.13980901964901982	0	-0.1958025685982303	-0.05194015585991174	0	-0.1828193061081489	-0.019133092755559744	0	-0.20070809091257935	-0.0801789719480599	0	-0.10957031744972134	-0.00914487783137119	0	-0.1520977928201006	-0.024408628676400923	0	-0.08001947933614062	0.004487094654349377	0	-0.1447663741389107	0.09796345985287935	0	-0.16292419802499936	-0.12622715947190954	0	-0.19719101195735078	0.031188749279300154	0	-0.13179881153195971	-0.0658770585861097	0	-0.1139242005094907	-0.07815826380481994	0	-0.07731384398000962	-0.13878574987532044	8	22	7
A8MWD9	Putative small nuclear ribonucleoprotein G-like protein 15 OS=Homo sapiens GN=SNRPGP15 PE=5 SV=2	0	0.02393468112097885	0.05453394832428948	0	0.017509401373400735	-0.08130619705398878	0	0.042444003023920374	-0.01680645166204009	0	0.018829294732869428	-0.07078021530124978	0	0.1150858594165598	-0.13976861482514025	0	0.07279270518692016	0.005663532979509611	0	0.09212651022177099	0.014374454414721072	0	0.1470787130333111	0.02026535749111069	0	0.01838700995243059	0.05222924743071111	0	-0.01862281773573926	-0.09255201111911049	0	-0.24281503748139954	-0.2778003342012987	0	0.0785038095085806	0.16743613958487025	0	-0.00269883625591838	0.10361373500706073	0	0.013887279920361095	0.008141199374691155	0	0.07696429699548979	0.1269426841989496	0	-0.004145803672729542	0.06783804885227163	0	-0.032196669954370094	0.02963378966071062	0	-0.1750221159783596	-0.039258417941660184	3	50	5
